No,山名,北緯,東経,よみがな,標高（m）,所在地,地域名,備考,クラス,カウント
218,金北山,38.1038888,138.3497222,きんぽくさん,1172,新潟県,上信越,,三百名山,0
219,米山,37.2894444,138.4838888,よねやま,993,新潟県,上信越,,三百名山,0
220,八溝山,36.9302777,140.2730555,やみぞさん,1022,茨城県・福島県,関東,,三百名山,0
221,二岐山,37.2463888,139.9672222,ふたまたやま,1544,福島県,東北,,三百名山,0
222,男鹿岳,37.0852777,139.8219444,おじかだけ,1777,福島県･栃木県,関東,,三百名山,0
223,荒海山（太郎岳）,37.0361111,139.6436111,あらかいざん（たろうだけ）,1581,福島県･栃木県,関東,,三百名山,0
224,七ヶ岳,37.1241666,139.6575,ななつがたけ,1636,福島県,東北,,三百名山,0
225,景鶴山,36.9569444,139.2105555,けいづるやま,2004,群馬県･新潟県,上信越,,三百名山,0
226,釈迦ヶ岳（高原山）,36.9,139.7766666,しゃかがだけ（たかはらやま）,1795,栃木県,関東,,三百名山,0
227,太郎山,36.8177777,139.4827777,たろうさん,2368,栃木県,関東,H26年標高変更,三百名山,0
228,袈裟丸山,36.6494444,139.3272222,けさまるやま,1961,栃木県・群馬県,関東,,三百名山,0
229,朝日岳,36.8805555,138.9725,あさひだけ,1945,群馬県,上信越,,三百名山,0
230,笠ヶ岳,36.6766666,138.4813888,かさがたけ,2076,長野県,上信越,,三百名山,0
231,横手山,36.6688888,138.5258333,よこてやま,2307,群馬県･長野県,上信越,,三百名山,0
232,諏訪山,36.04,138.7294444,すわやま,1549,群馬県,関東,,三百名山,0
233,国師ヶ岳,35.8708333,138.6730555,こくしがたけ,2592,山梨県･長野県,関東,,三百名山,0
234,三頭山,35.7391666,139.0138888,みとうさん,1531,東京都,関東,,三百名山,0
235,大山,35.4408333,139.2313888,おおやま,1252,神奈川県,関東,,三百名山,1
236,金時山,35.2897222,139.005,きんときやま,1212,静岡県･神奈川県,関東,H26年標高変更,三百名山,1
237,神山,35.2333333,139.0208333,かみやま,1438,神奈川県,関東,,三百名山,0
238,黒岳,35.5519444,138.7494444,くろだけ,1793,山梨県,関東,,三百名山,0
239,鉢伏山,36.1630555,138.0591666,はちぶせやま,1929,長野県,南･中央アルプス,H26年標高変更,三百名山,0
240,入笠山,35.8963888,138.1716666,にゅうがさやま,1955,長野県,南･中央アルプス,,三百名山,0
241,アサヨ峰,35.7316666,138.2413888,あさよみね,2799,山梨県,南･中央アルプス,,三百名山,0
242,奥茶臼山,35.485,138.0691666,おくちゃうすやま,2474,長野県,南･中央アルプス,,三百名山,0
243,茶臼岳,35.3691666,138.1405555,ちゃうすだけ,2604,長野県・静岡県,南･中央アルプス,,三百名山,0
244,黒法師岳,35.1961111,138.0294444,くろほうしだけ,2068,静岡県,南･中央アルプス,H26年標高変更,三百名山,0
245,高塚山,35.1155555,138.0036111,たかつかやま,1621,静岡県,南･中央アルプス,,三百名山,0
246,熊伏山,35.2633333,137.895,くまぶしやま,1654,長野県,南･中央アルプス,H26年標高変更,三百名山,0
247,山伏,35.3044444,138.2852777,やんぶし,2013,山梨県･静岡県,南･中央アルプス,,三百名山,0
248,斑尾山,36.8375,138.2744444,まだらおやま,1382,長野県,北アルプス・北信,,三百名山,0
249,焼山,36.9208333,138.0358333,やけやま,2400,新潟県,北アルプス・北信,,三百名山,0
250,青海黒姫山,36.9766666,137.79,おうみくろひめやま,1221,新潟県,北アルプス・北信,H26年標高変更,三百名山,0
251,朝日岳,36.8266666,137.73,あさひだけ,2418,新潟県･富山県,北アルプス・北信,,三百名山,0
252,唐松岳,36.6872222,137.7547222,からまつだけ,2696,富山県･長野県,北アルプス・北信,,三百名山,0
253,爺ヶ岳,36.5883333,137.7508333,じいがたけ,2670,富山県･長野県,北アルプス・北信,,三百名山,0
254,蓮華岳,36.5358333,137.7105555,れんげだけ,2799,富山県･長野県,北アルプス・北信,,三百名山,0
255,野口五郎岳,36.4327777,137.6377777,のぐちごろうだけ,2924,富山県･長野県,北アルプス・北信,,三百名山,0
256,三俣蓮華岳,36.39,137.5877777,みつまたれんげだけ,2841,富山県･岐阜県・長野県,北アルプス・北信,,三百名山,0
257,鍬崎山,36.54,137.4780555,くわさきやま,2090,富山県,北アルプス・北信,,三百名山,0
258,鉢盛山,36.0866666,137.7547222,はちもりやま,2447,長野県,南･中央アルプス,H26年標高変更,三百名山,0
259,奥三界岳,35.6816666,137.5072222,おくさんがいだけ,1811,岐阜県･長野県,南･中央アルプス,H26年標高変更,三百名山,0
260,越百山,35.6794444,137.8033333,こすもやま,2614,長野県,南･中央アルプス,H26年標高変更,三百名山,0
261,南木曽岳,35.5925,137.6441666,なぎそだけ,1679,長野県,南･中央アルプス,,三百名山,0
262,白木峰,36.4155555,137.1122222,しらきみね,1596,富山県･岐阜県,近畿･北陸,,三百名山,0
263,人形山,36.3488888,136.9397222,にんぎょうざん,1726,岐阜県･富山県,近畿･北陸,,三百名山,0
264,医王山,36.5127777,136.7961111,いおうぜん,939,富山県･石川県,近畿･北陸,,三百名山,0
265,大門山,36.3652777,136.8036111,だいもんさん,1572,富山県･石川県,近畿･北陸,,三百名山,0
266,大笠山,36.3205555,136.7897222,おおがさやま,1822,富山県･石川県,近畿･北陸,,三百名山,0
267,三方岩岳,36.2588888,136.8444444,さんぽういわだけ,1736,石川県･岐阜県,近畿･北陸,,三百名山,0
268,猿ヶ馬場山,36.2258333,136.9427777,さるがばんばやま,1875,岐阜県,近畿･北陸,,三百名山,0
269,経ヶ岳,36.0463888,136.6219444,きょうがたけ,1625,福井県,近畿･北陸,,三百名山,0
270,野伏ヶ岳,36.0127777,136.7325,のぶせがたけ,1674,岐阜県･福井県,近畿･北陸,,三百名山,0
